feature,chi2,p,n_target,n_reference,significant,fdr_p,fdr_significant,favors
confirmation,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
conflicted,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
confoundingly,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
connie,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
conquest,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
constitutionality,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
construct,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
constructed,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
consulted,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
consumer-electronics,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
consumer-protection,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
containerships,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
containing,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
containment,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
contender,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
contenders,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
contests,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
continent's,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
contracted,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
contractors,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
contradictory,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
contributes,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
contributor,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
controlling,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
conundrums,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
convenient,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
conversion,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
convert,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
converter,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
conviction,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
convictions,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cook,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
coolest,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cooling,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cooperation,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
coordinate,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cop,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
copied,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
copying,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
copyright-infringement,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
copyright-protection,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
copyrights,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cordial,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cords,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
corgan,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cornell,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
corners,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
corporate-branded,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
corporation,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
corps,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
corral,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
correction,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
corrections,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
corrective,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cost-reduction,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
costas,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cotton,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
couldn’t,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
councilman,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
councils,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
counselor,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
counted,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
counteroffers,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
counterpart,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
counters,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
county,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cousins,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
covets,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
coy,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cozying,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cracked,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cramp,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crap,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cratered,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
craze,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cream,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
credentials,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
credibility,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
creek,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crests,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crew,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cries,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
criminal-justice,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
criminals,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cringy,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crippling,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
criteria,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
critically,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
criticized,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crowded,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crowdsourced,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crown,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crushed,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crutch,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cruz-based,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crypto's,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crypto-friendly,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
crystal,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cubicles,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
culprit,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cultivate,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cultivating,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
culturally,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cultures,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cumulative,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
curator,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
curb,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
curbing,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
current-day,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
curry,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
curtail,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
curved,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
custom,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
customer-usage,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
customizes,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cutter,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cyberattack,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cybercab,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
cypriot,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
d-health,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
da,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dabbled,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
daggett's,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dales,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dallas,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
danced,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dangerously,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dangling,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dare-to-dream,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
daring,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
darker,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
darkest,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dashing,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
data-mining,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
databank,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
databases,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
datasets,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dating,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
daughter's,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
davos,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
de,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dealer,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
debating,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
debt-friendly,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
debuts,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
decent,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deciding,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
decipher,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
decision-support,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
decks,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
declare,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
declassify,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
declining,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deem,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deep-learning,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deepened,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
defended,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
defensive,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
defer,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deft,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
defy,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
degrees,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dehumanizing,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
del,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
delayed,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deliberations,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
delicate,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deliveroo,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
delivers,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
demand-growth,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
demanded,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
demise,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
democratize,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
democratizing,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
demon,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
demonstrations,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
demystified,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deng,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
denmark-based,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
denser,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
density,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
denver,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deny,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
departure,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dependence,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deposed,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deprived,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deregulating,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
descent,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
descript,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
designer,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
desist,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
desk,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
destinations,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
destined,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
destiny,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
destroyer,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
destroying,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
detached,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
detailing,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
deteriorated,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
determines,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dev,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
devouring,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dexcom's,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dhabi,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
diabetes,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
diagnosable,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dialing,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dialogue,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dickerson,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
digest,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
digital-health,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dimes,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
diminishing,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dimitri,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dined,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dining,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dips,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
diptych,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dire,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
directionless,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
directives,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dirt,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
disagreement,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
disappeared,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
disaster,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
discovered,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
discretion,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
discriminate,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
discs,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dislike,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
disliked,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dismiss,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dismissed,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dispelled,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dispose,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
disproportionate,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dissect,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dissertation,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dissuade,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
distanced,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
distill,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
distinction,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
distinguished,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
distract,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
distractions,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
distressed,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
district,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
diux-recruited,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
divergent,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dji,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
do-gooder,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
doc,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dockyard,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
docs,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
doctor's,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
doctorate,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dodge,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
doerr,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dogged,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dollar,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dolls,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dominate,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dominates,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
donated,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
donations,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
donohoe,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
doomsayers,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
doordash,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dot-com,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dotted,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
double-checked,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
doubted,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
doubts,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
douglas,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
downloaded,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
downturn,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
drafted,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dragos,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
drags,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
drastic,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
drax,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dread,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dried,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
drinking,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
drinks,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
driver,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
driver’s,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dropbox,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
drugmakers,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dst,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dual,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dunder,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dunn,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
duplicity,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dwellers,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dwelling,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dylan,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dynamics,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
dynamism,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
early‑2010s,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
earmarked,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
earning,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
earns,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
easiest,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
eat,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
eating,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
eclipse,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
econ,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
edenbase,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
edgecore,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
edgecore's,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
edison,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
edited,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
editor-in-chief,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
editors,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
educated,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
efros,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
eight-story,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
eight-week,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
einstein,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
ekg,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
elbowed,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
electric-vehicle,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
electricians,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
electricity-boom,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
electricity-demand,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
electronic-medical,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
electronics,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
element,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
eleos,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
elevated,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
eliezer,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
eliot,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
elites,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
elizabeth’s,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
elk,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
elusive,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
emailed,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
embarked,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
embodies,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
emboldened,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
embraced,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
emergent,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
emerging-technology,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
emily,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
emirates,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
emissions,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
emperors,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
emphasizing,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
empirically,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
empowering,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
empty,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
enamored,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
encoded,0.735,0.391352,1,0,FALSE,0.7082779483344663,FALSE,USA
