year_month,country,frame,frame_clean,avg_frequency,median_frequency,articles_count
2021-07-01,USA,ai_capability,Ai Capability,2.2288261515601784,2.2288261515601784,1
2021-07-01,USA,economic_benefits,Economic Benefits,0,0,1
2021-07-01,USA,ethical_concerns,Ethical Concerns,5.943536404160475,5.943536404160475,1
2021-07-01,USA,human_vs_ai,Human Vs Ai,0,0,1
2021-07-01,USA,innovation_progress,Innovation Progress,0.7429420505200593,0.7429420505200593,1
2021-07-01,USA,job_displacement,Job Displacement,0,0,1
2021-07-01,USA,privacy_concerns,Privacy Concerns,1.4858841010401187,1.4858841010401187,1
2021-07-01,USA,regulation_needed,Regulation Needed,5.200594353640416,5.200594353640416,1
2021-07-01,USA,safety_security,Safety Security,0.7429420505200593,0.7429420505200593,1
2021-07-01,USA,uncertainty_unknown,Uncertainty Unknown,0.7429420505200593,0.7429420505200593,1
2022-03-01,Ireland,ai_capability,Ai Capability,5.755395683453237,5.755395683453237,1
2022-03-01,Ireland,economic_benefits,Economic Benefits,1.4388489208633093,1.4388489208633093,1
2022-03-01,Ireland,ethical_concerns,Ethical Concerns,10.071942446043165,10.071942446043165,1
2022-03-01,Ireland,human_vs_ai,Human Vs Ai,0,0,1
2022-03-01,Ireland,innovation_progress,Innovation Progress,1.4388489208633093,1.4388489208633093,1
2022-03-01,Ireland,job_displacement,Job Displacement,0,0,1
2022-03-01,Ireland,privacy_concerns,Privacy Concerns,2.8776978417266186,2.8776978417266186,1
2022-03-01,Ireland,regulation_needed,Regulation Needed,17.26618705035971,17.26618705035971,1
2022-03-01,Ireland,safety_security,Safety Security,1.4388489208633093,1.4388489208633093,1
2022-03-01,Ireland,uncertainty_unknown,Uncertainty Unknown,0,0,1
2023-08-01,Ireland,ai_capability,Ai Capability,0,0,2
2023-08-01,Ireland,economic_benefits,Economic Benefits,1.2690355329949237,1.2690355329949237,2
2023-08-01,Ireland,ethical_concerns,Ethical Concerns,0,0,2
2023-08-01,Ireland,human_vs_ai,Human Vs Ai,0,0,2
2023-08-01,Ireland,innovation_progress,Innovation Progress,7.682076060696544,7.682076060696544,2
