from,to,weight,abs_weight,connection_type
safety_security,uncertainty_unknown,0.2581993028914958,0.2581993028914958,positive
uncertainty_unknown,safety_security,0.2581993028914958,0.2581993028914958,positive
ethical_concerns,regulation_needed,0.2458316174850721,0.2458316174850721,positive
regulation_needed,ethical_concerns,0.2458316174850721,0.2458316174850721,positive
ethical_concerns,economic_benefits,-0.23454666981298133,0.23454666981298133,negative
economic_benefits,ethical_concerns,-0.23454666981298133,0.23454666981298133,negative
safety_security,regulation_needed,0.2292851275766147,0.2292851275766147,positive
regulation_needed,safety_security,0.2292851275766147,0.2292851275766147,positive
ai_capability,uncertainty_unknown,0.21755254322342454,0.21755254322342454,positive
uncertainty_unknown,ai_capability,0.21755254322342454,0.21755254322342454,positive
ai_capability,regulation_needed,0.21463156679164325,0.21463156679164325,positive
regulation_needed,ai_capability,0.21463156679164325,0.21463156679164325,positive
safety_security,ai_capability,0.19982078853046603,0.19982078853046603,positive
ai_capability,safety_security,0.19982078853046603,0.19982078853046603,positive
privacy_concerns,regulation_needed,0.1974675634226572,0.1974675634226572,positive
regulation_needed,privacy_concerns,0.1974675634226572,0.1974675634226572,positive
ai_capability,innovation_progress,0.18638763171540715,0.18638763171540715,positive
innovation_progress,ai_capability,0.18638763171540715,0.18638763171540715,positive
ethical_concerns,ai_capability,0.18499251445773307,0.18499251445773307,positive
ai_capability,ethical_concerns,0.18499251445773307,0.18499251445773307,positive
human_vs_ai,regulation_needed,0.18230711023833612,0.18230711023833612,positive
regulation_needed,human_vs_ai,0.18230711023833612,0.18230711023833612,positive
innovation_progress,economic_benefits,0.17897556665876208,0.17897556665876208,positive
economic_benefits,innovation_progress,0.17897556665876208,0.17897556665876208,positive
ethical_concerns,innovation_progress,0.17574934886809596,0.17574934886809596,positive
innovation_progress,ethical_concerns,0.17574934886809596,0.17574934886809596,positive
privacy_concerns,ethical_concerns,0.16937446956094412,0.16937446956094412,positive
ethical_concerns,privacy_concerns,0.16937446956094412,0.16937446956094412,positive
job_displacement,human_vs_ai,0.16455762321315323,0.16455762321315323,positive
human_vs_ai,job_displacement,0.16455762321315323,0.16455762321315323,positive
privacy_concerns,ai_capability,0.15642395256964278,0.15642395256964278,positive
ai_capability,privacy_concerns,0.15642395256964278,0.15642395256964278,positive
human_vs_ai,uncertainty_unknown,-0.15196309915619224,0.15196309915619224,negative
uncertainty_unknown,human_vs_ai,-0.15196309915619224,0.15196309915619224,negative
safety_security,ethical_concerns,0.14111898413401608,0.14111898413401608,positive
ethical_concerns,safety_security,0.14111898413401608,0.14111898413401608,positive
regulation_needed,innovation_progress,0.1365213475598996,0.1365213475598996,positive
innovation_progress,regulation_needed,0.1365213475598996,0.1365213475598996,positive
ethical_concerns,job_displacement,-0.12885806209176048,0.12885806209176048,negative
job_displacement,ethical_concerns,-0.12885806209176048,0.12885806209176048,negative
uncertainty_unknown,regulation_needed,0.12752155434062237,0.12752155434062237,positive
regulation_needed,uncertainty_unknown,0.12752155434062237,0.12752155434062237,positive
job_displacement,uncertainty_unknown,-0.12281764972582361,0.12281764972582361,negative
uncertainty_unknown,job_displacement,-0.12281764972582361,0.12281764972582361,negative
job_displacement,innovation_progress,-0.11455671257489752,0.11455671257489752,negative
innovation_progress,job_displacement,-0.11455671257489752,0.11455671257489752,negative
human_vs_ai,economic_benefits,0.11312505528100172,0.11312505528100172,positive
economic_benefits,human_vs_ai,0.11312505528100172,0.11312505528100172,positive
ai_capability,human_vs_ai,0.10791865498401788,0.10791865498401788,positive
human_vs_ai,ai_capability,0.10791865498401788,0.10791865498401788,positive
privacy_concerns,job_displacement,-0.10777829844714397,0.10777829844714397,negative
job_displacement,privacy_concerns,-0.10777829844714397,0.10777829844714397,negative
uncertainty_unknown,innovation_progress,0.10388143003269268,0.10388143003269268,positive
innovation_progress,uncertainty_unknown,0.10388143003269268,0.10388143003269268,positive
