quarter,country,frame,avg_frequency,articles_count
2021.3,USA,ai_capability,2.2288261515601784,1
2021.3,USA,economic_benefits,0,1
2021.3,USA,ethical_concerns,5.943536404160475,1
2021.3,USA,human_vs_ai,0,1
2021.3,USA,innovation_progress,0.7429420505200593,1
2021.3,USA,job_displacement,0,1
2021.3,USA,privacy_concerns,1.4858841010401187,1
2021.3,USA,regulation_needed,5.200594353640416,1
2021.3,USA,safety_security,0.7429420505200593,1
2021.3,USA,uncertainty_unknown,0.7429420505200593,1
2022.1,Ireland,ai_capability,5.755395683453237,1
2022.1,Ireland,economic_benefits,1.4388489208633093,1
2022.1,Ireland,ethical_concerns,10.071942446043165,1
2022.1,Ireland,human_vs_ai,0,1
2022.1,Ireland,innovation_progress,1.4388489208633093,1
2022.1,Ireland,job_displacement,0,1
2022.1,Ireland,privacy_concerns,2.8776978417266186,1
2022.1,Ireland,regulation_needed,17.26618705035971,1
2022.1,Ireland,safety_security,1.4388489208633093,1
2022.1,Ireland,uncertainty_unknown,0,1
2023.3,Ireland,ai_capability,0.5954676288716586,4
2023.3,Ireland,economic_benefits,0.8815533396199915,4
2023.3,Ireland,ethical_concerns,1.5679442508710801,4
2023.3,Ireland,human_vs_ai,0,4
2023.3,Ireland,innovation_progress,4.784937714969059,4
2023.3,Ireland,job_displacement,0,4
2023.3,Ireland,privacy_concerns,1.0168812536100915,4
2023.3,Ireland,regulation_needed,6.823818928451546,4
2023.3,Ireland,safety_security,2.3871512454902755,4
2023.3,Ireland,uncertainty_unknown,0.6345177664974619,4
2023.4,Ireland,ai_capability,0,2
2023.4,Ireland,economic_benefits,2.4950099800399204,2
2023.4,Ireland,ethical_concerns,0,2
2023.4,Ireland,human_vs_ai,0,2
2023.4,Ireland,innovation_progress,2.4950099800399204,2
2023.4,Ireland,job_displacement,0,2
2023.4,Ireland,privacy_concerns,0,2
2023.4,Ireland,regulation_needed,6.593709133457223,2
2023.4,Ireland,safety_security,3.2968545667286113,2
2023.4,Ireland,uncertainty_unknown,0.499001996007984,2
2023.4,USA,ai_capability,0.9905792846383621,2
2023.4,USA,economic_benefits,0.5725190839694657,2
2023.4,USA,ethical_concerns,0.4180602006688963,2
